,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed,-additional
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,-9999
139,Cal Clutterbuck,NYI,RW,0:35,82,,9:58,-11.0,2.1,1.8,,0:03,-52.6,0.0,0.0,,1:51,-5.5,0.0,11.1,cluttca01
140,Cale Fleury,SEA,D,0:46,1,,13:21,23.8,4.5,0.0,,0:09,,0.0,0.0,,0:00,,,,fleurca01
141,Cale Makar,COL,D,0:52,77,,18:09,0.3,3.9,3.3,,4:04,2.0,10.7,0.8,,2:32,-1.2,1.5,8.3,makarca01
142,Caleb Jones,COL,D,0:38,25,,11:58,-4.7,2.6,1.8,,0:01,,0.0,0.0,,0:11,-14.0,0.0,12.1,jonesca01
143,Calen Addison,TOT,D,0:49,72,,14:50,3.4,4.0,4.4,,2:24,0.0,5.9,2.4,,0:01,,0.0,0.0,addisca01
144,Callahan Burke,CAR,C,0:25,1,,7:06,-48.1,0.0,0.0,,0:00,,,,,0:00,,,,burkeca01
145,Callan Foote,NJD,D,0:41,4,,13:33,-15.1,4.4,1.1,,0:00,,0.0,0.0,,1:11,-22.2,0.0,0.0,footeca01
146,Calle Järnkrok,TOR,C,0:43,52,,12:29,1.3,3.6,2.2,,1:16,-3.3,4.6,0.9,,1:30,0.0,1.5,8.5,jarnkca01
147,Calle Rosén,STL,D,0:41,6,,12:32,-7.1,0.8,1.6,,0:02,,0.0,0.0,,0:04,-12.0,0.0,0.0,rosenca01
148,Calvin de Haan,TBL,D,0:42,59,,14:39,1.2,2.4,3.0,,0:01,-89.1,0.0,0.0,,1:56,0.9,0.0,6.8,dehaaca01
149,Cam Atkinson,PHI,RW,0:51,70,,12:30,-1.1,2.3,3.6,,2:05,-0.1,5.3,0.8,,1:20,2.3,0.0,3.8,atkinca01
150,Cam Fowler,ANA,D,0:56,81,,18:50,-0.2,1.8,3.5,,2:20,1.2,7.6,0.0,,3:14,-4.8,1.4,12.1,fowleca01
151,Cameron Butler,CBJ,F,0:54,1,,0:54,46.2,0.0,0.0,,0:00,,,,,0:00,,,,butleca01
152,Cameron Crotty,ARI,D,0:37,1,,10:03,-3.7,0.0,6.0,,0:00,,,,,0:00,,,,crottca01
153,Cameron York,PHI,D,0:44,82,,18:11,-1.7,2.6,3.3,,2:05,2.7,3.2,0.7,,2:20,-1.2,2.2,7.5,yorkca01
154,Carl Grundström,LAK,RW,0:41,50,,10:29,0.6,2.1,2.4,,0:06,12.2,21.6,0.0,,0:19,-6.4,3.6,3.6,grundca01
155,Carson Meyer,CBJ,RW,0:54,14,,9:06,-5.4,1.4,2.4,,0:00,,0.0,0.0,,0:00,,0.0,0.0,meyerca01
156,Carson Soucy,VAN,D,0:34,40,,15:18,-6.9,2.6,1.9,,0:22,-3.2,7.8,0.0,,1:47,-2.0,1.7,3.3,soucyca01
157,Carter Verhaeghe,FLA,C,0:49,76,,14:42,5.3,3.8,2.6,,3:14,-1.8,10.3,1.2,,0:01,-15.3,0.0,45.0,verhaca01
158,Casey Cizikas,NYI,C,0:33,70,,11:52,-4.1,2.1,2.3,,0:14,15.4,7.0,0.0,,1:49,-6.5,0.5,12.7,cizikca01
159,Casey Mittelstadt,TOT,C,0:48,80,,15:15,0.0,4.0,3.0,,2:23,-2.9,6.5,1.1,,0:05,-12.3,0.0,0.0,mitteca01
160,Chad Ruhwedel,TOT,D,0:55,52,,10:43,-18.0,0.0,1.9,,0:00,,,,,1:58,14.9,0.0,8.0,ruhwech01
161,Chandler Stephenson,VEG,C,0:55,75,,14:00,-1.8,2.8,3.3,,2:52,0.2,6.4,1.4,,1:35,-1.5,2.0,8.5,stephch02
162,Charlie Coyle,BOS,C/RW,0:38,82,,13:46,-2.6,2.9,3.2,,1:49,1.2,8.0,0.8,,2:27,0.3,1.5,7.7,coylech01
163,Charlie McAvoy,BOS,D,0:53,74,,19:23,2.4,3.2,2.9,,3:14,2.0,7.0,1.3,,2:13,1.9,0.7,4.4,mcavoch01
164,Chris Kreider,NYR,LW,0:32,82,,13:41,3.4,3.6,2.7,,3:31,6.1,12.3,1.0,,1:34,7.6,2.8,5.1,kreidch01
